;id;nome_escola;tipo_escola;logradouro_entrega;numero;bairro;subprefeitura;latitude;longitude;qt_material_didatico;ordem
0;178;HENFIL;CIEP ;RUA CARLOS SEIDL;;CAJU;CENTRO;-22,88089;-43,22533;20;0
18;523;PRESIDENTE DA COSTA E SILVA;EM ;RUA ASSUNCAO;257;BOTAFOGO;ZONA SUL;-22,94556;-43,18659;111;2
1;634;ALICE DO AMARAL PEIXOTO;EM ;RUA EBANO;187;BENFICA;CENTRO;-22,88957;-43,2362;121;3
13;558;CICERO PENA;EM ;AVENIDA ATLANTICA;1976;COPACABANA;ZONA SUL;-22,96865;-43,18114;573;4
27;280;GENERAL HUMBERTO DE SOUZA MELLO;EM ;RUA OITO DE DEZEMBRO;275;VILA ISABEL;GRANDE TIJUCA;-22,90982;-43,23939;491;5
17;268;MINAS GERAIS;EM ;AVENIDA PASTEUR;433;URCA;ZONA SUL;-22,95382;-43,16888;308;6
16;309;MEXICO;EM ;RUA DA MATRIZ;67;BOTAFOGO;ZONA SUL;-22,95271;-43,19176;319;7
2;483;CELESTINO SILVA;EM ;RUA DO LAVRADIO;56;CENTRO;CENTRO;-22,90929;-43,18358;220;8
25;163;LAUDIMIA TROTTA;EM ;RUA ANTONIO BASILIO;370;TIJUCA;GRANDE TIJUCA;-22,92684;-43,23789;576;10
19;035;SENADOR CORREA;EM ;RUA SENADOR CORREA;;LARANJEIRAS;ZONA SUL;-22,93399;-43,18101;525;11
21;226;AFRANIO PEIXOTO;EM ;RUA FERREIRA PONTES;328;ANDARAI;GRANDE TIJUCA;-22,92686;-43,25491;164;12
26;361;PRUDENTE DE MORAES;EM ;RUA ENES DE SOUSA;36;TIJUCA;GRANDE TIJUCA;-22,92906;-43,23287;63;13
24;180;EQUADOR;EM ;BOULEVARD VINTE E OITO DE SETEMBRO;353;VILA ISABEL;GRANDE TIJUCA;-22,91615;-43,24705;185;15
22;638;AZEVEDO SODRE;EM ;RUA BARAO DE UBA;331;PRACA DA BANDEIRA;GRANDE TIJUCA;-22,91545;-43,21109;293;16
23;126;DUQUE DE CAXIAS;EM ;RUA MARECHAL JOFRE;74;GRAJAU;GRANDE TIJUCA;-22,91854;-43,26509;399;17
20;011;SAMUEL WEINER;CIEP ;AVENIDA HEITOR BELTRAO;;TIJUCA;GRANDE TIJUCA;-22,92127;-43,228;445;18
12;450;ALBERTO BARTH;EM ;AVENIDA OSWALDO CRUZ;124;FLAMENGO;ZONA SUL;-22,94071;-43,17647;420;19
9;089;MARIO CLAUDIO;EM ;RUA HADDOCK LOBO;148;RIO COMPRIDO;CENTRO;-22,91723;-43,21104;473;20
15;540;HENRIQUE DODSWORTH;EM ;AVENIDA EPITACIO PESSOA;474;IPANEMA;ZONA SUL;-22,98196;-43,21358;516;21
8;600;URUGUAI;EM ;RUA ANA NERI;192;BENFICA;CENTRO;-22,89849;-43,23776;591;22
4;132;PEREIRA PASSOS;EM ;PRACA CONDESSA PAULO DE FRONTIN;45;RIO COMPRIDO;CENTRO;-22,92441;-43,20858;67;23
10;387;PRESIDENTE AGOSTINHO NETO;CIEP ;RUA VISCONDE DE SILVA;;HUMAITA;ZONA SUL;-22,95917;-43,19972;456;24
11;331;TANCREDO NEVES;CIEP ;RUA DO CATETE;77;CATETE;ZONA SUL;-22,92278;-43,17668;223;25
3;476;FLORIANO PEIXOTO;EM ;PRACA ARGENTINA;20;SAO CRISTOVAO;CENTRO;-22,89763;-43,22746;190;26
30;653;LUCIA MIGUEL PEREIRA;EM ;RUA MARTAGAO GESTEIRA;;SAO CONRADO;ZONA SUL;-22,99742;-43,27218;159;27
31;660;NOSSA SENHORA DA POMPEIA;EM ;RUA CIRNE MAIA;109;TODOS OS SANTOS;ZONA NORTE;-22,89203;-43,27992;342;28
102;641;LAURO MULLER;EM ;RUA ROSA DE ALMEIDA;113;PADRE MIGUEL;GRANDE BANGU;-22,88207;-43,44644;269;29
29;587;ALMIRANTE TAMANDARE;EM ;AVENIDA PRESIDENTE JOAO GOULART;296;VIDIGAL;ZONA SUL;-22,9937;-43,23558;336;30
99;308;THOMAS JEFFERSON;CIEP ;ESTRADA DO ENGENHO NOVO;;REALENGO;GRANDE BANGU;-22,86652;-43,42515;400;32
5;017;PRESIDENTE JOSE LINHARES;EM ;RUA BARAO DA TORRE;90;IPANEMA;ZONA SUL;-22,98333;-43,19904;48;33
101;495;ENGENHEIRO LAFAYETTE DE ANDRADA;EM ;AVENIDA DUQUE DE CAXIAS;170;DEODORO;GRANDE BANGU;-22,85609;-43,38661;128;34
100;576;CORYNTHO DA FONSECA;EM ;RUA URUQUE;;REALENGO;GRANDE BANGU;-22,85894;-43,44387;148;35
7;490;TIA CIATA;EM ;AVENIDA PRESIDENTE VARGAS;;CENTRO;CENTRO;-22,90712;-43,19507;578;36
